a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_c_orig,et_h_c_v2,et_h_d,et_h_e
4,1,1,1.0,9.394789579158317,1000,1,31,1000,1000,1000
6,1,8,0.0,0.0,2,1,2,1,1000,2
14,1,15,0.1342685370741483,23.582089552238806,4,1,3,1,1000,4
2,1,20,0.0,0.0,1,1,1,1,5,1
20,1,12,0.0,0.0,1000,1,64,4,1000,1000
17,1,10,0.40080160320641284,41.695,1000,1,28,4,1000,1000
2,1,13,0.9238476953907816,10.681127982646421,1,2,1,1,5,1
10,1,1,1.0,18.132264529058116,1000,1,1000,1000,1000,1000
16,1,3,0.3346693386773547,19.634730538922156,1000,1,1000,1000,1000,1000
3,1,4,0.501002004008016,7.748,2,1,2,3,1000,2
16,1,4,0.0,0.0,1000,1,1000,1000,1000,1000
17,1,3,0.6673346693386774,27.813813813813812,1000,1,1000,1000,1000,1000
7,1,17,0.9418837675350702,53.43617021276596,1,1,1,1,1000,1
3,1,9,0.0,0.0,1,1,1,1,11,1
14,1,8,0.0,0.0,1000,1,17,5,1000,1000
13,1,17,0.23647294589178355,31.97457627118644,2,1,2,1,1000,2
16,1,11,0.45691382765531063,39.36842105263158,10,1,8,3,1000,13
20,1,3,0.6673346693386774,30.96096096096096,1000,1,1000,1000,1000,1000
6,1,18,0.0,0.0,1,1,1,1,1000,1
4,1,11,0.45691382765531063,11.640350877192983,1,1,1,1,1000,1
