Final_RE,Final_IM,Is_Stable
1093,364,0
1093,-1094,0
2551,364,0
-1094,1093,0
1336,121,0
364,-1823,0
1822,121,0
364,1093,0
2308,121,0
121,-1094,0
2794,121,0
-1823,364,0
1093,40,0
121,-1580,0
1255,40,0
1093,364,0
1417,40,0
121,-2066,0
1579,40,0
-1094,121,1
1741,40,0
121,-2552,0
1903,40,0
364,2551,0
2065,40,0
40,-1013,0
2227,40,0
-1580,121,0
2389,40,0
40,-1175,0
2551,40,0
1093,-1094,0
2713,40,0
40,-1337,0
2875,40,0
-2066,121,0
1012,13,0
40,-1499,0
1066,13,0
121,1336,0
1120,13,0
40,-1661,0
1174,13,0
-2552,121,0
1228,13,0
40,-1823,0
1282,13,0
2551,364,0
1336,13,0
40,-1985,0
1390,13,0
-1013,40,1
1444,13,0
40,-2147,0
1498,13,0
121,1822,0
1552,13,0
40,-2309,0
1606,13,0
-1175,40,1
1660,13,0
40,-2471,0
1714,13,0
-1094,1093,0
1768,13,0
40,-2633,0
1822,13,0
-1337,40,1
1876,13,0
40,-2795,0
1930,13,0
121,2308,0
1984,13,0
40,-2957,0
2038,13,0
-1499,40,0
2092,13,0
13,-1040,0
2146,13,0
1336,121,0
2200,13,0
13,-1094,0
2254,13,0
-1661,40,0
2308,13,0
13,-1148,0
2362,13,0
121,2794,0
2416,13,0
13,-1202,0
2470,13,0
-1823,40,0
2524,13,0
13,-1256,0
2578,13,0
364,-1823,0
2632,13,0
13,-1310,0
2686,13,0
-1985,40,0
2740,13,0
13,-1364,0
2794,13,0
40,1093,0
2848,13,0
13,-1418,0
2902,13,0
-2147,40,0
2956,13,0
13,-1472,0
1003,4,0
1822,121,0
1021,4,0
13,-1526,0
1039,4,0
-2309,40,0
1057,4,0
13,-1580,0
1075,4,0
40,1255,0
1093,4,0
13,-1634,0
1111,4,0
-2471,40,0
1129,4,0
13,-1688,0
1147,4,0
364,1093,0
1165,4,0
13,-1742,0
1183,4,0
-2633,40,0
1201,4,0
13,-1796,0
1219,4,0
40,1417,0
1237,4,0
13,-1850,0
1255,4,0
-2795,40,0
1273,4,0
13,-1904,0
1291,4,0
2308,121,0
1309,4,0
13,-1958,0
1327,4,0
-2957,40,0
1345,4,0
13,-2012,0
1363,4,0
40,1579,0
1381,4,0
13,-2066,0
1399,4,0
-1040,13,1
1417,4,0
13,-2120,0
1435,4,0
121,-1094,0
1453,4,0
13,-2174,0
1471,4,0
-1094,13,1
1489,4,0
13,-2228,0
1507,4,0
40,1741,0
1525,4,0
13,-2282,0
1543,4,0
-1148,13,1
1561,4,0
13,-2336,0
1579,4,0
2794,121,0
1597,4,0
13,-2390,0
1615,4,0
-1202,13,1
1633,4,0
13,-2444,0
1651,4,0
40,1903,0
1669,4,0
13,-2498,0
1687,4,0
-1256,13,1
1705,4,0
13,-2552,0
1723,4,0
-1823,364,0
1741,4,0
13,-2606,0
1759,4,0
-1310,13,1
1777,4,0
13,-2660,0
1795,4,0
40,2065,0
1813,4,0
13,-2714,0
1831,4,0
-1364,13,1
1849,4,0
13,-2768,0
1867,4,0
1093,40,0
1885,4,0
13,-2822,0
1903,4,0
-1418,13,0
1921,4,0
13,-2876,0
1939,4,0
40,2227,0
