Input,Final_RE,Final_IM,Magnitude,Mandel_Match
549,1648,0,1648.00,true
550,-1235,-1239,1749.38,true
551,1654,0,1654.00,true
552,-1181,3,1181.00,true
553,1660,0,1660.00,true
554,-1244,-1248,1762.11,true
555,1666,0,1666.00,true
556,925,867,1267.80,true
557,1672,0,1672.00,true
558,-1253,-1257,1774.84,true
559,1678,0,1678.00,true
560,-1199,-1221,1711.27,true
561,1684,0,1684.00,true
562,-1262,-1266,1787.57,true
563,1690,0,1690.00,true
564,952,948,1343.51,true
565,1696,0,1696.00,true
566,-1271,-1275,1800.30,true
567,1702,0,1702.00,true
568,-1073,1083,1524.54,true
569,1708,0,1708.00,true
570,-1280,-1284,1813.02,true
571,1714,0,1714.00,true
572,-722,-726,1023.89,true
573,1720,0,1720.00,true
574,-1289,-1293,1825.75,true
575,1726,0,1726.00,true
576,925,867,1267.80,true
577,1732,0,1732.00,true
578,-1298,-1302,1838.48,true
579,1738,0,1738.00,true
580,979,975,1381.69,true
581,1744,0,1744.00,true
582,-1307,-1311,1851.21,true
583,1750,0,1750.00,true
584,-8,-1482,1482.02,true
585,1756,0,1756.00,true
586,-1316,-1320,1863.94,true
587,1762,0,1762.00,true
588,-8,1110,1110.03,true
589,1768,0,1768.00,true
590,-1325,-1329,1876.66,true
591,1774,0,1774.00,true
592,1465,-1347,1990.13,true
593,1780,0,1780.00,true
594,-1334,-1338,1889.39,true
595,1786,0,1786.00,true
596,1006,1002,1419.87,true
597,1792,0,1792.00,true
598,-1343,-1347,1902.12,true
599,1798,0,1798.00,true
600,7,1137,1137.02,true
601,1804,0,1804.00,true
602,-1352,-1356,1914.85,true
603,1810,0,1810.00,true
604,7,1929,1929.01,true
605,1816,0,1816.00,true
606,-1361,-1365,1927.58,true
607,1822,0,1822.00,true
608,-1262,-1320,1826.21,true
609,1828,0,1828.00,true
610,-1370,-1374,1940.30,true
611,1834,0,1834.00,true
612,1033,1029,1458.06,true
613,1840,0,1840.00,true
614,-1379,-1383,1953.03,true
615,1846,0,1846.00,true
616,1042,-6,1042.02,true
617,1852,0,1852.00,true
618,-1388,-1392,1965.76,true
619,1858,0,1858.00,true
620,988,966,1381.77,true
621,1864,0,1864.00,true
622,-1397,-1401,1978.49,true
623,1870,0,1870.00,true
624,7,-1509,1509.02,true
625,1876,0,1876.00,true
626,-1406,-1410,1991.21,true
627,1882,0,1882.00,true
628,1060,1056,1496.24,true
629,1888,0,1888.00,true
630,-1415,-1419,2003.94,true
631,1894,0,1894.00,true
632,898,-906,1275.63,true
633,1900,0,1900.00,true
634,-1424,-1428,2016.67,true
635,1906,0,1906.00,true
636,-803,-807,1138.45,true
637,1912,0,1912.00,true
638,-1433,-1437,2029.40,true
639,1918,0,1918.00,true
640,979,903,1331.86,true
641,1924,0,1924.00,true
642,-1442,-1446,2042.13,true
643,1930,0,1930.00,true
644,1087,1083,1534.42,true
645,1936,0,1936.00,true
646,-1451,-1455,2054.85,true
647,1942,0,1942.00,true
648,1096,-6,1096.02,true
649,1948,0,1948.00,true
650,-1460,-1464,2067.58,true
651,1954,0,1954.00,true
652,934,-924,1313.82,true
653,1960,0,1960.00,true
654,-1469,-1473,2080.31,true
655,1966,0,1966.00,true
656,1060,12,1060.07,true
657,1972,0,1972.00,true
658,-1478,-1482,2093.04,true
659,1978,0,1978.00,true
660,1114,1110,1572.61,true
661,1984,0,1984.00,true
662,-1487,-1491,2105.77,true
663,1990,0,1990.00,true
664,-1253,1263,1779.09,true
665,1996,0,1996.00,true
666,-1496,-1500,2118.49,true
667,2002,0,2002.00,true
668,-1199,1209,1702.73,true
669,2008,0,2008.00,true
670,1,-1005,1005.00,true
671,2014,0,2014.00,true
672,-737,705,1019.90,true
673,2020,0,2020.00,true
674,1,-1011,1011.00,true
675,2026,0,2026.00,true
676,1141,1137,1610.79,true
677,2032,0,2032.00,true
678,1,-1017,1017.00,true
679,2038,0,2038.00,true
680,1150,-6,1150.02,true
681,2044,0,2044.00,true
682,1,-1023,1023.00,true
683,2050,0,2050.00,true
684,-965,-807,1257.96,true
685,2056,0,2056.00,true
686,1,-1029,1029.00,true
687,2062,0,2062.00,true
688,-1469,-1491,2093.09,true
689,2068,0,2068.00,true
690,1,-1035,1035.00,true
691,2074,0,2074.00,true
692,1168,1164,1648.98,true
693,2080,0,2080.00,true
694,1,-1041,1041.00,true
695,2086,0,2086.00,true
696,-1316,1326,1868.19,true
697,2092,0,2092.00,true
698,1,-1047,1047.00,true
699,2098,0,2098.00,true
700,-884,-888,1253.00,true
701,2104,0,2104.00,true
702,1,-1053,1053.00,true
703,2110,0,2110.00,true
704,-965,-807,1257.96,true
