Final_RE,Final_IM,Is_Stable,HCv2_RE,HCv2_IM
-965,-807,0,-0.0001613131917529892,0.00009116072705128688
988,-330,0,-0.000552915626587219,0.0009623835974859873
1312,48,0,-0.0025047868641904967,-0.0002891654249970199
-965,-807,0,-0.0001613131917529892,0.00009116072705128688
-965,-807,0,-0.0001613131917529892,0.00009116072705128688
259,-1977,0,0.0031889751871872624,0.007170356500407648
1465,-1347,0,0.00005549567122270967,0.000014350393027751476
-965,-807,0,-0.0001613131917529892,0.00009116072705128688
-965,-807,0,-0.0001613131917529892,0.00009116072705128688
1312,48,0,-0.0025047868641904967,-0.0002891654249970199
16,-1302,0,-0.10521565499488461,0.2540130612626114
988,-330,0,-0.000552915626587219,0.0009623835974859873
979,903,0,0.00008009986410309284,-0.000019931707816339763
1045,57,0,-0.0027426978878852,-0.00047464255027606327
19,-1041,0,-0.16628013271973277,-0.12942102219831864
-965,-807,0,-0.0001613131917529892,0.00009116072705128688
1288,-24,0,-0.003086933137805731,0.0001809126575825502
1330,1434,0,-0.00005490859856473989,-0.000013766810918064794
1393,1425,0,-0.00001626202341974813,-0.0000011756504532360062
-1127,-1023,0,-0.00008232430704304238,0.000024558323711095606
-965,-807,0,-0.0001613131917529892,0.00009116072705128688
1465,-1347,0,0.00005549567122270967,0.000014350393027751476
1060,12,0,-0.0042247960286317665,-0.00015031909915024744
1555,-195,0,-0.0012329149706374293,0.0005125149613220073
1045,57,0,-0.0027426978878852,-0.00047464255027606327
-35,1281,0,0.03178503105301317,0.0978242668004655
-926,-942,0,0.000018472793915935962,0.0000010037332433091071
-965,-807,0,-0.0001613131917529892,0.00009116072705128688
1069,-1167,0,-0.00007867172874400006,0.00002330572347289084
-47,1515,0,-0.054803721428053676,0.0495670398678709
-1055,-1077,0,0.000019520719025908942,0.000001280671750902058
988,-330,0,-0.000552915626587219,0.0009623835974859873
-11,-1275,0,-0.41457128538741406,0.12172911260124508
16,-1302,0,-0.10521565499488461,0.2540130612626114
-1199,-1221,0,0.000015139382122980134,8.736609448825593e-7
925,867,0,0.00006865130643825848,-0.00001370104718673732
1465,-1347,0,0.00005549567122270967,0.000014350393027751476
-1262,-1320,0,0.00003523488380268031,0.000005122995661009294
7,-1509,0,0.17081000331107246,0.7483675218643847
979,903,0,0.00008009986410309284,-0.000019931707816339763
1060,12,0,-0.0042247960286317665,-0.00015031909915024744
-737,705,0,-0.00005967131231276675,-0.000008190365351360576
-1469,-1491,0,0.0000101080250513956,4.7592408773206293e-7
-965,-807,0,-0.0001613131917529892,0.00009116072705128688
1177,-33,0,-0.0030249450519524933,0.00026713452917039455
19,-1041,0,-0.16628013271973277,-0.12942102219831864
-8,1434,0,0.4586278212794233,-0.4586278212793975
